Name,Time Stamp,Time,Interval,Unit,PEGSRVR.COGEN#Block Demand Real Power#kW,x,y,z
tcnj_COGEN_kw,061219,1415,15,kw,"4,064.38",0,0,0
tcnj_COGEN_kw,061219,1430,15,kw,"4,064.34",0,0,0
tcnj_COGEN_kw,061219,1445,15,kw,"4,064.47",0,0,0
tcnj_COGEN_kw,061219,1500,15,kw,"4,064.31",0,0,0
tcnj_COGEN_kw,061219,1515,15,kw,"4,064.36",0,0,0
tcnj_COGEN_kw,061219,1530,15,kw,"4,064.40",0,0,0
tcnj_COGEN_kw,061219,1545,15,kw,"4,064.34",0,0,0
tcnj_COGEN_kw,061219,1600,15,kw,"4,064.19",0,0,0
tcnj_COGEN_kw,061219,1615,15,kw,"4,064.50",0,0,0
tcnj_COGEN_kw,061219,1630,15,kw,"4,064.13",0,0,0
tcnj_COGEN_kw,061219,1645,15,kw,"4,064.18",0,0,0
tcnj_COGEN_kw,061219,1700,15,kw,"4,064.11",0,0,0
tcnj_COGEN_kw,061219,1715,15,kw,"4,064.24",0,0,0
tcnj_COGEN_kw,061219,1730,15,kw,"4,064.21",0,0,0
tcnj_COGEN_kw,061219,1745,15,kw,"4,064.08",0,0,0
tcnj_COGEN_kw,061219,1800,15,kw,"4,064.13",0,0,0
tcnj_COGEN_kw,061219,1815,15,kw,"4,064.01",0,0,0
tcnj_COGEN_kw,061219,1830,15,kw,"4,063.97",0,0,0
tcnj_COGEN_kw,061219,1845,15,kw,"4,063.99",0,0,0
tcnj_COGEN_kw,061219,1900,15,kw,"4,064.03",0,0,0
tcnj_COGEN_kw,061219,1915,15,kw,"4,064.04",0,0,0
tcnj_COGEN_kw,061219,1930,15,kw,"3,756.55",0,0,0
tcnj_COGEN_kw,061219,1945,15,kw,0.00,0,0,0
tcnj_COGEN_kw,061219,2000,15,kw,0.00,0,0,0
tcnj_COGEN_kw,061219,2015,15,kw,0.00,0,0,0
tcnj_COGEN_kw,061219,2030,15,kw,534.52,0,0,0
tcnj_COGEN_kw,061219,2045,15,kw,"4,066.07",0,0,0
tcnj_COGEN_kw,061219,2100,15,kw,"4,064.90",0,0,0
tcnj_COGEN_kw,061219,2115,15,kw,"4,064.42",0,0,0
tcnj_COGEN_kw,061219,2130,15,kw,"4,064.03",0,0,0
tcnj_COGEN_kw,061219,2145,15,kw,"4,063.82",0,0,0
tcnj_COGEN_kw,061219,2200,15,kw,"4,063.77",0,0,0
tcnj_COGEN_kw,061219,2215,15,kw,"4,063.48",0,0,0
tcnj_COGEN_kw,061219,2230,15,kw,"4,063.69",0,0,0
tcnj_COGEN_kw,061219,2245,15,kw,"4,063.87",0,0,0
tcnj_COGEN_kw,061219,2300,15,kw,"4,063.85",0,0,0
tcnj_COGEN_kw,061219,2315,15,kw,"4,063.99",0,0,0
tcnj_COGEN_kw,061219,2330,15,kw,"4,063.76",0,0,0
tcnj_COGEN_kw,061219,2345,15,kw,"4,063.68",0,0,0
tcnj_COGEN_kw,061319,0000,15,kw,"4,063.93",0,0,0
